Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24614313,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2000,,,,,,,54.6,54.57449,,,,2020-12-04T16:59:42.513+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614317,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2010,,,,,,,59.6,59.60036,,,,2020-12-04T16:59:43.013+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614321,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2015,,,,,,,61.0,61.03658,,,,2020-12-04T16:59:43.423+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614325,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2019,,,,,,,63.3,63.28709,,,,2020-12-04T16:59:43.533+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614329,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2000,,,,,,,55.4,55.41726,,,,2020-12-04T16:59:43.61+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614333,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2010,,,,,,,60.3,60.2972,,,,2020-12-04T16:59:43.72+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614337,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2015,,,,,,,62.3,62.34584,,,,2020-12-04T16:59:43.847+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614341,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2019,,,,,,,63.2,63.15551,,,,2020-12-04T16:59:43.927+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614345,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2000,,,,,,,55.0,54.98949,,,,2020-12-04T16:59:44.053+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614349,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2010,,,,,,,59.9,59.94055,,,,2020-12-04T16:59:44.18+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614353,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2015,,,,,,,61.7,61.65429,,,,2020-12-04T16:59:44.273+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614357,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2019,,,,,,,63.2,63.2099,,,,2020-12-04T16:59:44.37+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
